1,27233496,,,0,C#
1,23698767,,,9,C#
1,5484340,,,0,C#
2,5494879,,5484340,1,
1,9419744,,,2,Objective-C
1,26875732,,,1,C#
1,9002525,,,2,C++
2,9003401,,9002525,4,
2,9003942,,9002525,1,
2,9005311,,9002525,0,
1,5257894,,,1,Java
1,21984912,,,0,Java
2,21985273,,21984912,0,
1,27398936,,,0,PHP
1,28903923,,,0,PHP
2,28904080,,28903923,0,
1,20990204,,,6,PHP
1,5077978,,,-2,Python
2,5078493,,5077978,4,
2,5078743,,5077978,3,
1,8031082,,,8,Objective-C
2,8031100,,8031082,6,
2,8031125,,8031082,1,
1,16551759,,,9,C++
2,16551822,,16551759,7,
2,16551829,,16551759,1,
2,16551831,,16551759,0,
2,16551845,,16551759,2,
2,16552071,,16551759,1,
1,17826681,,,0,PHP
1,8103979,,,2,JavaScript
2,17089040,,8103979,0,
1,15483637,,,1,Java
2,15484045,,15483637,1,
1,2321851,,,0,PHP
2,2322265,,2321851,1,
2,2323701,,2321851,0,
2,2323761,,2321851,0,
1,10674503,,,3,Java
1,15462957,,,0,C#
1,20866641,,,0,C#
1,24224556,,,-1,PHP
1,9112129,,,0,C#
1,25027457,,,-1,CSS
1,1460012,,,2,C#
1,27637790,,,1,JavaScript
1,6385471,,,1,C#
2,6385544,,6385471,1,
2,6385562,,6385471,0,
2,6385759,,6385471,0,
2,6387080,,6385471,1,
1,19402497,,,0,PHP
2,19403102,,19402497,1,
2,19403769,,19402497,2,
1,10409799,,,2,Java
1,21747092,,,1,PHP
2,21747234,,21747092,0,
2,21747427,,21747092,0,
1,16511433,,,3,PHP
1,3627793,,,45,Python
2,3627835,,3627793,31,
2,13848698,,3627793,2,
1,3089596,,,5,Java
2,3089617,,3089596,2,
1,18810015,,,0,PHP
2,18810083,,18810015,0,
2,18810110,,18810015,0,
2,18810147,,18810015,0,
1,25824154,,,-3,C#
1,13625022,,,10,Java
2,13632819,,13625022,0,
2,14412802,,13625022,2,
1,12590505,,,6,Python
2,12591054,,12590505,6,
2,12591072,,12590505,2,
2,12591124,,12590505,1,
2,12591286,,12590505,3,
1,13730490,,,1,Ruby
2,13730567,,13730490,5,
1,20845444,,,0,JavaScript
2,20845770,,20845444,1,
1,13050118,,,8,Java
2,13050213,,13050118,0,
2,13050222,,13050118,1,
1,13544887,,,2,Java
1,20405477,,,0,PHP
1,21838084,,,0,Python
2,21838282,,21838084,1,
1,28104641,,,1,JavaScript
1,28256639,,,0,JavaScript
1,5132263,,,2,C#
2,5132289,,5132263,0,
2,5132295,,5132263,2,
2,5132304,,5132263,5,
2,5132315,,5132263,0,
1,17524753,,,0,C#
2,17524843,,17524753,1,
1,8566694,,,0,C++
2,8566746,,8566694,2,
2,8566760,,8566694,4,
2,8566776,,8566694,3,
1,5871573,,,1,C#
2,5871604,,5871573,1,
2,5871606,,5871573,3,
2,5871610,,5871573,5,
2,5871624,,5871573,3,
1,10179734,,,0,Java
1,12852107,,,1,Java
2,12852141,,12852107,2,
2,12852206,,12852107,2,
1,25486036,,,-2,Python
2,25486329,,25486036,0,
2,25486484,,25486036,0,
1,19627392,,,0,JavaScript
1,28768469,,,0,Java
1,9120401,,,2,PHP
1,25144816,,,1,JavaScript
2,25144985,,25144816,2,
1,18843103,,,1,JavaScript
2,18844911,,18843103,0,
1,13723769,,,1,PHP
2,13723837,,13723769,0,
2,13723850,,13723769,2,
2,13723906,,13723769,0,
2,13723956,,13723769,1,
1,21286445,,,0,PHP
1,28131525,,,0,PHP
2,28140451,,28131525,0,
1,23753569,,,4,Python
1,18845171,,,0,C#
2,18845421,,18845171,0,
2,18845543,,18845171,0,
1,8427621,,,0,Ruby
1,26197428,,,0,Java
2,26197457,,26197428,2,
2,26197509,,26197428,1,
1,11259747,,,0,Objective-C
2,11259878,,11259747,1,
2,11260780,,11259747,0,
2,11261143,,11259747,0,
1,16858340,,,0,C++
2,16859789,,16858340,1,
1,26334950,,,0,JavaScript
1,24582320,,,1,Python
2,24617680,,24582320,2,
1,14873577,,,3,C++
1,2805763,,,2,Java
2,2806261,,2805763,2,
2,2812593,,2805763,0,
1,8122591,,,2,C#
1,15010582,,,0,Perl
2,15011575,,15010582,0,
1,16578643,,,0,JavaScript
1,18579433,,,0,JavaScript
1,13050635,,,2,C#
1,14068608,,,2,PHP
1,17420319,,,0,C#
2,17420828,,17420319,5,
1,13241925,,,0,C#
1,23473355,,,0,Java
1,18756764,,,1,Java
2,18756864,,18756764,2,
1,28909610,,,0,JavaScript
2,28909975,,28909610,0,
1,24745692,,,1,C#
1,26109538,,,0,JavaScript
2,26109584,,26109538,1,
1,9959492,,,1,C#
1,18592875,,,0,Objective-C
2,18594094,,18592875,2,
1,10327079,,,3,Python
1,14533391,,,0,JavaScript
1,18419680,,,-1,Java
2,18419906,,18419680,1,
1,26805420,,,1,C#
1,15883795,,,-2,Java
1,11054498,,,2,C++
2,11054592,,11054498,6,
2,11054636,,11054498,0,
2,11054647,,11054498,1,
2,11054693,,11054498,0,
2,11054820,,11054498,0,
2,11054902,,11054498,0,
1,26791461,,,1,CSS
1,6442341,,,4,CSS
2,6442639,,6442341,0,
2,6482085,,6442341,0,
2,6498664,,6442341,4,
2,6498883,,6442341,13,
2,6580171,,6442341,3,
2,6590041,,6442341,1,
1,10437717,,,3,JavaScript
1,8137584,,,1,Objective-C
1,23624836,,,-1,C#
1,3342409,,,4,C++
2,3342433,,3342409,1,
2,3342457,,3342409,4,
2,3342480,,3342409,1,
2,3342496,,3342409,1,
2,3342585,,3342409,3,
2,3342764,,3342409,0,
1,10161639,,,0,CSS
2,10161732,,10161639,0,
2,13287301,,10161639,1,
1,23818194,,,0,C#
1,10280549,,,1,Java
2,10280634,,10280549,0,
2,10280670,,10280549,1,
2,10280716,,10280549,0,
1,2621194,,,4,Java
2,2684813,,2621194,2,
1,2839885,,,2,CSS
2,2839912,,2839885,1,
2,2839921,,2839885,0,
2,2839974,,2839885,0,
1,16803538,,,0,C++
1,13910923,,,-2,PHP
2,13911030,,13910923,2,
1,12618423,,,0,Java
2,18512128,,12618423,0,
1,28434487,,,0,Java
1,17660207,,,0,CSS
1,12108144,,,0,JavaScript
2,12108736,,12108144,0,
1,10973846,,,6,C++
2,16709203,,10973846,1,
1,5667358,,,28,C#
1,14520983,,,0,CSS
1,15766436,,,0,PHP
2,15766486,,15766436,7,
2,15766506,,15766436,1,
1,23607775,,,1,PHP
2,23607964,,23607775,0,
2,23608105,,23607775,1,
1,6820785,,,1,C#
1,21378988,,,0,PHP
2,21379106,,21378988,0,
2,21379364,,21378988,0,
2,21406688,,21378988,-2,
1,27698796,,,-1,PHP
1,18475516,,,-1,Java
1,24903894,,,0,Java
1,11462928,,,2,C++
2,11463290,,11462928,0,
